2026-04-28 15:02:05 | INFO     | __main__:181 | Checking Binance connectivity...
2026-04-28 15:02:05 | WARNING  | __main__:190 | Starting live mode — ensure PAPER_TRADING=True in settings.py
2026-04-28 15:02:05 | INFO     | __main__:57 | ============================================================
2026-04-28 15:02:05 | INFO     | __main__:58 | QF623 Crypto Algo — Backtest Pipeline
2026-04-28 15:02:05 | INFO     | __main__:59 | ============================================================
2026-04-28 15:02:05 | INFO     | __main__:62 | Step 1/6: Loading universe data
2026-04-28 15:02:05 | INFO     | data.ingestion:85 | Fetching BTCUSDT 1d from 2021-01-01
2026-04-28 15:02:05 | SUCCESS  | data.ingestion:105 | Cached BTCUSDT: 1944 bars → BTCUSDT_1d.parquet
2026-04-28 15:02:05 | INFO     | data.ingestion:85 | Fetching ETHUSDT 1d from 2021-01-01
2026-04-28 15:02:06 | SUCCESS  | data.ingestion:105 | Cached ETHUSDT: 1944 bars → ETHUSDT_1d.parquet
2026-04-28 15:02:06 | INFO     | data.ingestion:85 | Fetching BNBUSDT 1d from 2021-01-01
2026-04-28 15:02:07 | SUCCESS  | data.ingestion:105 | Cached BNBUSDT: 1944 bars → BNBUSDT_1d.parquet
2026-04-28 15:02:07 | INFO     | data.ingestion:85 | Fetching SOLUSDT 1d from 2021-01-01
2026-04-28 15:02:08 | SUCCESS  | data.ingestion:105 | Cached SOLUSDT: 1937 bars → SOLUSDT_1d.parquet
2026-04-28 15:02:08 | INFO     | data.ingestion:85 | Fetching XRPUSDT 1d from 2021-01-01
2026-04-28 15:02:08 | SUCCESS  | data.ingestion:105 | Cached XRPUSDT: 1944 bars → XRPUSDT_1d.parquet
2026-04-28 15:02:08 | INFO     | data.ingestion:85 | Fetching ADAUSDT 1d from 2021-01-01
2026-04-28 15:02:09 | SUCCESS  | data.ingestion:105 | Cached ADAUSDT: 1921 bars → ADAUSDT_1d.parquet
2026-04-28 15:02:09 | INFO     | data.ingestion:85 | Fetching AVAXUSDT 1d from 2021-01-01
2026-04-28 15:02:10 | SUCCESS  | data.ingestion:105 | Cached AVAXUSDT: 1854 bars → AVAXUSDT_1d.parquet
2026-04-28 15:02:10 | INFO     | data.ingestion:85 | Fetching DOTUSDT 1d from 2021-01-01
2026-04-28 15:02:10 | SUCCESS  | data.ingestion:105 | Cached DOTUSDT: 1733 bars → DOTUSDT_1d.parquet
2026-04-28 15:02:10 | INFO     | data.ingestion:85 | Fetching LINKUSDT 1d from 2021-01-01
2026-04-28 15:02:11 | SUCCESS  | data.ingestion:105 | Cached LINKUSDT: 1914 bars → LINKUSDT_1d.parquet
2026-04-28 15:02:11 | INFO     | data.ingestion:85 | Fetching MATICUSDT 1d from 2021-01-01
2026-04-28 15:02:11 | SUCCESS  | data.ingestion:105 | Cached MATICUSDT: 1331 bars → MATICUSDT_1d.parquet
2026-04-28 15:02:11 | INFO     | data.ingestion:85 | Fetching ATOMUSDT 1d from 2021-01-01
2026-04-28 15:02:12 | SUCCESS  | data.ingestion:105 | Cached ATOMUSDT: 1362 bars → ATOMUSDT_1d.parquet
2026-04-28 15:02:12 | INFO     | data.ingestion:85 | Fetching LTCUSDT 1d from 2021-01-01
2026-04-28 15:02:12 | SUCCESS  | data.ingestion:105 | Cached LTCUSDT: 1933 bars → LTCUSDT_1d.parquet
2026-04-28 15:02:12 | INFO     | data.ingestion:132 | Universe loaded: 12/12 symbols
2026-04-28 15:02:12 | INFO     | __main__:70 | Universe: ['BTCUSDT', 'ETHUSDT', 'BNBUSDT', 'SOLUSDT', 'XRPUSDT', 'ADAUSDT', 'AVAXUSDT', 'DOTUSDT', 'LINKUSDT', 'MATICUSDT', 'ATOMUSDT', 'LTCUSDT']
2026-04-28 15:02:12 | INFO     | __main__:71 | Date range: 2021-01-01 → 2026-04-28
2026-04-28 15:02:12 | INFO     | __main__:72 | Total bars: 1944
2026-04-28 15:02:12 | INFO     | __main__:75 | Step 2/6: Loading funding rates and sentiment data
2026-04-28 15:02:16 | INFO     | __main__:80 | Step 3/6: Generating signals for all 10 strategies
2026-04-28 15:02:16 | INFO     | __main__:85 |   → momentum
2026-04-28 15:02:16 | DEBUG    | strategies.base:68 | Running strategy: momentum
2026-04-28 15:02:17 | INFO     | __main__:85 |   → mean_reversion
2026-04-28 15:02:17 | DEBUG    | strategies.base:68 | Running strategy: mean_reversion
2026-04-28 15:02:17 | INFO     | __main__:85 |   → risk_parity
2026-04-28 15:02:17 | DEBUG    | strategies.base:68 | Running strategy: risk_parity
