strategy,alpha,r2,IR,beta_btc_ret,beta_eth_ret,beta_vol_factor,beta_mom_factor,beta_carry_factor
momentum,0.0003,0.0252,0.004,0.0065,-0.012,0.0054,-0.0115,4.0145
mean_reversion,0.0713,0.0302,1.154,-0.0325,0.0333,-0.0033,0.0018,-5.6152
risk_parity,-0.0122,0.0631,-0.63,0.0021,-0.0024,-0.0014,-0.0021,-2.2779
cross_sectional_momentum,-0.4997,0.1314,-7.999,0.0121,-0.017,-0.002,0.0602,17.2687
vol_breakout,-0.0194,0.0384,-0.92,-0.0011,-0.0006,-0.0017,0.0028,0.4326
pairs_trading,-0.0122,0.0631,-0.63,0.0021,-0.0024,-0.0014,-0.0021,-2.2779
ml_signal,-0.0104,0.033,-0.106,0.0544,-0.0591,-0.0019,0.026,-6.5033
macro_rotation,-0.0122,0.0631,-0.63,0.0021,-0.0024,-0.0014,-0.0021,-2.2779
carry,-0.1361,0.0571,-1.455,0.0225,-0.0537,-0.0033,0.0484,-0.5161
sentiment,0.0853,0.0129,3.004,0.0123,-0.008,0.0006,-0.0081,-0.4942
