,initial_capital,final_capital,total_pnl,avg_daily_pnl,best_day_pnl,worst_day_pnl,pnl_ratio
momentum,10000.0,5588.7,-5519.78,-3.26,254.23,-542.98,0.5589
mean_reversion,10000.0,4721.02,-7281.85,-4.31,372.3,-598.11,0.4721
risk_parity,10000.0,11519.44,1607.61,0.95,307.85,-343.93,1.1519
cross_sectional_momentum,10000.0,6031.91,-4661.26,-2.76,396.94,-510.66,0.6032
vol_breakout,10000.0,8851.53,-1178.54,-0.7,194.77,-202.09,0.8852
pairs_trading,10000.0,9387.26,-611.24,-0.36,165.02,-95.95,0.9387
ml_signal,10000.0,2988.84,-11688.65,-6.91,323.36,-382.24,0.2989
macro_rotation,10000.0,13794.31,3478.0,2.06,454.03,-447.9,1.3794
carry,10000.0,9597.88,-383.53,-0.23,325.15,-150.48,0.9598
sentiment,10000.0,8672.37,-1389.99,-0.82,81.61,-481.23,0.8672
